center,left,right,steering_angle,throttle,brake,speed
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_05_214.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_05_214.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_05_214.jpg,0,0,0,7.799164E-05
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_05_334.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_05_334.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_05_334.jpg,0,0,0,7.843743E-05
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_05_453.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_05_453.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_05_453.jpg,0,0,0,7.940127E-05
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_05_569.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_05_569.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_05_569.jpg,0,0,0,7.930945E-05
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_05_686.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_05_686.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_05_686.jpg,0,0,0,7.828129E-05
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_05_787.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_05_787.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_05_787.jpg,0,0,0,7.803718E-05
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_05_887.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_05_887.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_05_887.jpg,0,0,0,7.812471E-05
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_05_988.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_05_988.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_05_988.jpg,0,0,0,7.809022E-05
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_06_102.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_06_102.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_06_102.jpg,0,0,0,7.784145E-05
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_06_217.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_06_217.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_06_217.jpg,0,0,0,8.10264E-05
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_06_319.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_06_319.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_06_319.jpg,0,0,0,7.769294E-05
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_06_437.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_06_437.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_06_437.jpg,0,0,0,7.898411E-05
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_06_555.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_06_555.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_06_555.jpg,0,0,0,7.820017E-05
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_06_674.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_06_674.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_06_674.jpg,0,0,0,7.782489E-05
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_06_792.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_06_792.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_06_792.jpg,0,0,0,7.946391E-05
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_06_911.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_06_911.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_06_911.jpg,0,0,0,7.830434E-05
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_07_025.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_07_025.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_07_025.jpg,0,0,0,7.809295E-05
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_07_141.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_07_141.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_07_141.jpg,0,0,0,7.825025E-05
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_07_258.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_07_258.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_07_258.jpg,0,0,0,7.827266E-05
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_07_380.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_07_380.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_07_380.jpg,0,0,0,7.909465E-05
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_07_500.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_07_500.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_07_500.jpg,0,0,0,7.814355E-05
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_07_618.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_07_618.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_07_618.jpg,0,0,0,7.786546E-05
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_07_719.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_07_719.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_07_719.jpg,0,0,0,7.824058E-05
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_07_840.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_07_840.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_07_840.jpg,0,0.1586995,0,0.03220669
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_07_952.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_07_952.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_07_952.jpg,0,0,0,0.08905502
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_08_071.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_08_071.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_08_071.jpg,0,0,0,0.08798505
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_08_196.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_08_196.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_08_196.jpg,0,0.1371481,0,0.1314496
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_08_315.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_08_315.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_08_315.jpg,0,0.4978473,0,0.7002083
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_08_442.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_08_442.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_08_442.jpg,0,0.8675044,0,1.734922
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_08_545.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_08_545.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_08_545.jpg,0,1,0,2.930562
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_08_653.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_08_653.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_08_653.jpg,0,0.6771007,0,4.030993
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_08_754.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_08_754.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_08_754.jpg,0,0.3736148,0,4.572889
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_08_854.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_08_854.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_08_854.jpg,0,0.07231545,0,4.747111
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_08_976.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_08_976.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_08_976.jpg,0,0,0,4.693179
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_09_077.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_09_077.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_09_077.jpg,-0.3011699,0,0,4.630941
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_09_201.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_09_201.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_09_201.jpg,0,0,0,4.574819
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_09_302.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_09_302.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_09_302.jpg,0,0,0,4.52861
/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/center_2021_03_23_00_28_09_406.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/left_2021_03_23_00_28_09_406.jpg,/home/macvincent/Desktop/CarND-Behavioral-Cloning-P3 (1)/slow_data/IMG/right_2021_03_23_00_28_09_406.jpg,0,0,0,4.483168
